contexto,ordem,municipio,portal_oficial,url_informada,url_avaliada,status_validacao_browser,titulo,nota,praticas,aceitaveis,nao_aceitaveis,verificar_manual,json,pdf,erro,run_fonte,url_chave,host_chave,nota_num,avaliacao_utilizavel,tem_cloudflare,faixa_nota,tipo_entidade,municipio_chave
"mt","22","","","https://araputanga.mt.leg.br/","https://araputanga.mt.leg.br/","","Câmara Municipal de Araputanga","6.6","32","146","157","40","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_araputanga.mt.leg.br_022.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_araputanga.mt.leg.br_022.pdf","","17-04-38","araputanga.mt.leg.br","araputanga.mt.leg.br","6.6","Sim","Não","6-<7","Câmara Municipal","araputanga"
"mt","23","","","https://www.arenapolis.mt.gov.br/","https://www.arenapolis.mt.gov.br/","","Prefeitura Municipal de Arenápolis","5.8","35","126","164","8","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.arenapolis.mt.gov.br_023.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.arenapolis.mt.gov.br_023.pdf","","17-04-38","arenapolis.mt.gov.br","arenapolis.mt.gov.br","5.8","Sim","Não","5-<6","Prefeitura/Órgão Municipal","arenapolis"
"mt","24","","","https://arenapolis.mt.leg.br/","https://arenapolis.mt.leg.br/","","Access denied | arenapolis.mt.leg.br used Cloudflare to restrict access | arenapolis.mt.leg.br | Cloudflare","8.7","17","30","28","3","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_arenapolis.mt.leg.br_024.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_arenapolis.mt.leg.br_024.pdf","","17-04-38","arenapolis.mt.leg.br","arenapolis.mt.leg.br","8.7","Não","Sim","8-<9","Câmara Municipal","arenapolis"
"mt","26","","","https://camaraaripuanamt.com.br/index.php","https://camaraaripuanamt.com.br/index.php","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly9jYW1hcmFhcmlwdWFuYW10LmNvbS5ici9pbmRleC5waHA%3D"",""timestamp"":""2026-09-21T21:07:00.425Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/anali","17-04-38","camaraaripuanamt.com.br/index.php","camaraaripuanamt.com.br","0","Não","Não","<5","Outro/Consórcio",""
"mt","27","","","https://www.barradobugres.mt.gov.br/","https://www.barradobugres.mt.gov.br/","","Prefeitura Municipal de Barra do Bugres | Gestão 2025-2028 – Site oficial da Prefeitura Municipal de Barra do Bugres","6.8","35","168","50","35","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.barradobugres.mt.gov.br_027.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.barradobugres.mt.gov.br_027.pdf","","17-04-38","barradobugres.mt.gov.br","barradobugres.mt.gov.br","6.8","Sim","Não","6-<7","Prefeitura/Órgão Municipal","barradobugres"
"mt","28","","","https://barradobugres.mt.leg.br","https://barradobugres.mt.leg.br","","Câmara Municipal de Barra do Bugres","6.0","35","306","79","17","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_barradobugres.mt.leg.br_028.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_barradobugres.mt.leg.br_028.pdf","","17-04-38","barradobugres.mt.leg.br","barradobugres.mt.leg.br","6","Sim","Não","6-<7","Câmara Municipal","barradobugres"
"mt","25","","","https://www.aripuana.mt.gov.br/#/home","https://www.aripuana.mt.gov.br/#/home","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYXJpcHVhbmEubXQuZ292LmJyLyMvaG9tZQ%3D%3D"",""timestamp"":""2026-09-21T21:07:22.125Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize","17-04-38","aripuana.mt.gov.br/#/home","aripuana.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","aripuana"
"mt","30","","","https://www.barradogarcas.mt.gov.br/","https://www.barradogarcas.mt.gov.br/","","Página Inicial - Prefeitura Municipal de Barra do Garças","7.1","38","324","31","38","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.barradogarcas.mt.gov.br_030.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.barradogarcas.mt.gov.br_030.pdf","","17-04-38","barradogarcas.mt.gov.br","barradogarcas.mt.gov.br","7.1","Sim","Não","7-<8","Prefeitura/Órgão Municipal","barradogarcas"
"mt","13","","","https://www.altotaquari.mt.gov.br/","https://www.altotaquari.mt.gov.br/","","","","","","","","","","Avaliação excedeu 120s.","17-04-38","altotaquari.mt.gov.br","altotaquari.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","altotaquari"
"mt","31","","","https://www.barradogarcas.mt.leg.br/","https://www.barradogarcas.mt.leg.br/","","Página Inicial — Câmara Municipal de Barra do Garças","7.1","40","589","64","19","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.barradogarcas.mt.leg.br_031.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.barradogarcas.mt.leg.br_031.pdf","","17-04-38","barradogarcas.mt.leg.br","barradogarcas.mt.leg.br","7.1","Sim","Não","7-<8","Câmara Municipal","barradogarcas"
"mt","32","","","https://www.baraodemelgaco.mt.gov.br/","https://www.baraodemelgaco.mt.gov.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYmFyYW9kZW1lbGdhY28ubXQuZ292LmJyLw%3D%3D"",""timestamp"":""2026-09-21T21:07:43.751Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize","17-04-38","baraodemelgaco.mt.gov.br","baraodemelgaco.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","baraodemelgaco"
"mt","34","","","https://www.boaesperancadonorte.mt.gov.br/","https://www.boaesperancadonorte.mt.gov.br/","","Access denied | www.boaesperancadonorte.mt.gov.br used Cloudflare to restrict access | www.boaesperancadonorte.mt.gov.br | Cloudflare","8.7","17","30","28","3","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.boaesperancadonorte.mt.gov.br_034.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.boaesperancadonorte.mt.gov.br_034.pdf","","17-04-38","boaesperancadonorte.mt.gov.br","boaesperancadonorte.mt.gov.br","8.7","Não","Sim","8-<9","Prefeitura/Órgão Municipal","boaesperancadonorte"
"mt","33","","","https://baraodemelgaco.mt.leg.br/","https://baraodemelgaco.mt.leg.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly9iYXJhb2RlbWVsZ2Fjby5tdC5sZWcuYnIv"",""timestamp"":""2026-09-21T21:07:49.626Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/","17-04-38","baraodemelgaco.mt.leg.br","baraodemelgaco.mt.leg.br","0","Não","Não","<5","Câmara Municipal","baraodemelgaco"
"mt","35","","","https://www.bomjesusdoaraguaia.mt.gov.br/","https://www.bomjesusdoaraguaia.mt.gov.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYm9tamVzdXNkb2FyYWd1YWlhLm10Lmdvdi5ici8%3D"",""timestamp"":""2026-09-21T21:07:58.115Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/anali","17-04-38","bomjesusdoaraguaia.mt.gov.br","bomjesusdoaraguaia.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","bomjesusdoaraguaia"
"mt","37","","","https://www.brasnorte.mt.gov.br/","https://www.brasnorte.mt.gov.br/","","Página Principal Prefeitura Municipal de Brasnorte","5.3","37","395","207","26","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.brasnorte.mt.gov.br_037.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.brasnorte.mt.gov.br_037.pdf","","17-04-38","brasnorte.mt.gov.br","brasnorte.mt.gov.br","5.3","Sim","Não","5-<6","Prefeitura/Órgão Municipal","brasnorte"
"mt","36","","","https://camarabomjesusdoaraguaia.mt.gov.br/","https://camarabomjesusdoaraguaia.mt.gov.br/","","C&#226;mara Municipal de Bom Jesus do Araguaia","6.7","49","270","172","38","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_camarabomjesusdoaraguaia.mt.gov.br_036.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_camarabomjesusdoaraguaia.mt.gov.br_036.pdf","","17-04-38","camarabomjesusdoaraguaia.mt.gov.br","camarabomjesusdoaraguaia.mt.gov.br","6.7","Sim","Não","6-<7","Prefeitura/Órgão Municipal","camarabomjesusdoaraguaia"
