ordem,municipio_chave,tipo_entidade,url_amaweb,url_accessmonitor,correspondencia,status_amaweb,nota_amaweb,avaliacao_amaweb,tem_cloudflare_amaweb,status_accessmonitor,nota_accessmonitor,avaliacao_accessmonitor,tem_cloudflare_accessmonitor,diferenca_nota_amaweb_menos_accessmonitor,faixa_amaweb,faixa_accessmonitor,titulo_amaweb,titulo_accessmonitor,accessmonitor_run
"41","","Outro/Consórcio","https://www.gp.srv.br/transparencia_camponovodoparecis/servlet/home_portal_v2?1","https://www.gp.srv.br/transparencia_camponovodoparecis/servlet/home_portal_v2?1","URL exata","Concluída","7.1","Sim","Não","Avaliado","6.9","Sim","Não","0.20","7-<8","6-<7","Portal de Transparência","Portal de Transparência","17-04-38"
"42","camponovodoparecis","Câmara Municipal","https://www.camponovodoparecis.mt.leg.br/","https://www.camponovodoparecis.mt.leg.br/","URL exata","Concluída","8","Sim","Não","Avaliado","7.2","Sim","Não","0.80","8-<9","7-<8","Página Inicial — CÂMARA MUNICIPAL","Página Inicial — CÂMARA MUNICIPAL","17-04-38"
"43","campoverde","Prefeitura/Órgão Municipal","https://campoverde.mt.gov.br/","https://campoverde.mt.gov.br/","URL exata","Concluída","8.3","Sim","Não","Avaliado","8.4","Sim","Não","-0.10","8-<9","8-<9","Página Inicial - Prefeitura de Campo Verde - MT","Página Inicial - Prefeitura de Campo Verde - MT","17-04-38"
"44","campoverde","Câmara Municipal","https://www.campoverde.mt.leg.br/","https://www.campoverde.mt.leg.br/","URL exata","Concluída","7.1","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Câmara Municipal de Campo Verde - Transparência, Legislação e Participação Cidadã","","17-04-38"
"45","camposdejulio","Prefeitura/Órgão Municipal","https://www.camposdejulio.mt.gov.br/","https://www.camposdejulio.mt.gov.br/","URL exata","Concluída","6.6","Sim","Não","Avaliado","5.7","Sim","Não","0.90","6-<7","5-<6","Página Inicial - Prefeitura Municipal de Campos de Júlio","Página Inicial - Prefeitura Municipal de Campos de Júlio","17-04-38"
"46","camaracamposdejulio","Prefeitura/Órgão Municipal","https://www.camaracamposdejulio.mt.gov.br/home","https://www.camaracamposdejulio.mt.gov.br/home","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"47","","Outro/Consórcio","https://canabravadonorte.org/","https://canabravadonorte.org/","URL exata","Concluída","8.3","Sim","Não","Avaliado","7.4","Sim","Não","0.90","8-<9","7-<8","Canabrava do Norte","Canabrava do Norte","17-04-38"
"48","canabravadonorte","Câmara Municipal","https://canabravadonorte.mt.leg.br/","https://canabravadonorte.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"49","canarana","Prefeitura/Órgão Municipal","https://canarana.mt.gov.br/portal/","https://canarana.mt.gov.br/portal/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","5.8","Sim","Não","","<5","5-<6","","Prefeitura Municipal de Canarana","17-04-38"
"50","canarana","Câmara Municipal","https://www.canarana.mt.leg.br/","https://www.canarana.mt.leg.br/","URL exata","Concluída","8.1","Sim","Não","Avaliado","7.1","Sim","Não","1.00","8-<9","7-<8","Página Inicial — Câmara Municipal","Página Inicial — Câmara Municipal","17-04-38"
"51","carlinda","Prefeitura/Órgão Municipal","https://www.carlinda.mt.gov.br/adm/aplicativo.php","https://www.carlinda.mt.gov.br/adm/aplicativo.php","URL exata","Concluída","8","Sim","Não","Avaliado","7.5","Sim","Não","0.50","8-<9","7-<8","Página Inicial - Prefeitura de Carlinda Carlinda - MT","Página Inicial - Prefeitura de Carlinda Carlinda - MT","17-04-38"
"52","camaracarlinda","Prefeitura/Órgão Municipal","https://www.camaracarlinda.mt.gov.br/","https://www.camaracarlinda.mt.gov.br/","URL exata","Concluída","7.5","Sim","Não","Avaliado","6.8","Sim","Não","0.70","7-<8","6-<7","· Câmara de Carlinda","· Câmara de Carlinda","17-04-38"
"53","castanheira","Prefeitura/Órgão Municipal","https://www.castanheira.mt.gov.br/","https://www.castanheira.mt.gov.br/","URL exata","Concluída","8","Sim","Não","Avaliado","7.3","Sim","Não","0.70","8-<9","7-<8","Prefeitura de Castanheira","Prefeitura de Castanheira","17-04-38"
"54","castanheira","Câmara Municipal","https://www.castanheira.mt.leg.br/","https://www.castanheira.mt.leg.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.castanheira.mt.leg.br used Cloudflare to restrict access | www.castanheira.mt.leg.br | Cloudflare","Access denied | www.castanheira.mt.leg.br used Cloudflare to restrict access | www.castanheira.mt.leg.br | Cloudflare","17-04-38"
"55","chapadadosguimaraes","Prefeitura/Órgão Municipal","https://www.chapadadosguimaraes.mt.gov.br/","https://www.chapadadosguimaraes.mt.gov.br/","URL exata","Concluída","8","Sim","Não","Avaliado","7.1","Sim","Não","0.90","8-<9","7-<8","Página Inicial - Prefeitura Municipal de Chapada dos Guimarães","Página Inicial - Prefeitura Municipal de Chapada dos Guimarães","17-04-38"
"56","camarachapadadosguimaraes","Prefeitura/Órgão Municipal","https://www.camarachapadadosguimaraes.mt.gov.br","https://www.camarachapadadosguimaraes.mt.gov.br","URL exata","Concluída","9.2","Sim","Não","Avaliado","","Não","Não","","9-10","<5","Câmara Municipal de Chapada dos Guimarães/MT","","17-04-38"
"57","claudia","Prefeitura/Órgão Municipal","https://www.claudia.mt.gov.br/","https://www.claudia.mt.gov.br/","URL exata","Concluída","7.8","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Prefeitura Municipal de Cláudia – MT – uma cidade para todos","","17-04-38"
"58","camaraclaudia","Prefeitura/Órgão Municipal","https://www.camaraclaudia.mt.gov.br/","https://www.camaraclaudia.mt.gov.br/","URL exata","Concluída","7.6","Sim","Não","Avaliado","7","Sim","Não","0.60","7-<8","7-<8","Página Inicial - Câmara Municipal de Cláudia-MT","Página Inicial - Câmara Municipal de Cláudia-MT","17-04-38"
"59","cocalinho","Prefeitura/Órgão Municipal","https://www.cocalinho.mt.gov.br/","https://www.cocalinho.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"60","cocalinho","Câmara Municipal","https://cocalinho.mt.leg.br/","https://cocalinho.mt.leg.br/","URL exata","Concluída","8.1","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Câmara Municipal de Cocalinho - MT","","17-04-38"
"61","colniza","Prefeitura/Órgão Municipal","https://colniza.mt.gov.br/#/home","https://colniza.mt.gov.br/#/home","URL exata","Concluída","7.5","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Prefeitura Municipal de Colniza - MT","","17-04-38"
"62","colniza","Câmara Municipal","https://www.colniza.mt.leg.br/","https://www.colniza.mt.leg.br/","URL exata","Concluída","7.6","Sim","Não","Avaliado","6.9","Sim","Não","0.70","7-<8","6-<7","Página Inicial — Câmara Municipal de Colniza","Página Inicial — Câmara Municipal de Colniza","17-04-38"
"63","","Outro/Consórcio","https://cisrnm.com.br/#/home","https://cisrnm.com.br/#/home","URL exata","Concluída","6.6","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Consórcio Intermunicipal de Saúde Da Região Norte Matogrossense","","17-04-38"
"64","colider","Prefeitura/Órgão Municipal","https://www.colider.mt.gov.br/","https://www.colider.mt.gov.br/","URL exata","Concluída","7.5","Sim","Não","Avaliado","6.9","Sim","Não","0.60","7-<8","6-<7","Página Inicial - Prefeitura de Colíder","Página Inicial - Prefeitura de Colíder","17-04-38"
"65","camaracolider","Prefeitura/Órgão Municipal","https://www.camaracolider.mt.gov.br/","https://www.camaracolider.mt.gov.br/","URL exata","Concluída","7.1","Sim","Não","Avaliado","6.3","Sim","Não","0.80","7-<8","6-<7","Página Inicial - Câmara Municipal de Colíder - Mato Grosso","Página Inicial - Câmara Municipal de Colíder - Mato Grosso","17-04-38"
"66","comodoro","Prefeitura/Órgão Municipal","https://www.comodoro.mt.gov.br/","https://www.comodoro.mt.gov.br/","URL exata","Concluída","6.9","Sim","Não","Avaliado","6.7","Sim","Não","0.20","6-<7","6-<7","Página Inicial - Prefeitura de Comodoro Comodoro - MT","Página Inicial - Prefeitura de Comodoro Comodoro - MT","17-04-38"
"67","comodoro","Câmara Municipal","https://www.comodoro.mt.leg.br/","https://www.comodoro.mt.leg.br/","URL exata","Concluída","7.9","Sim","Não","Avaliado","6.9","Sim","Não","1.00","7-<8","6-<7","Página Inicial — Câmara Municipal de Comodoro","Página Inicial — Câmara Municipal de Comodoro","17-04-38"
"68","","Outro/Consórcio","https://portal.cisax-mt.agilicloud.com.br/","https://portal.cisax-mt.agilicloud.com.br/","URL exata","Concluída","4.7","Sim","Não","Avaliado","4.2","Sim","Não","0.50","<5","<5","ÁGILI Cidade Digital®","ÁGILI Cidade Digital®","17-04-38"
