ordem,municipio_chave,tipo_entidade,url_amaweb,url_accessmonitor,correspondencia,status_amaweb,nota_amaweb,avaliacao_amaweb,tem_cloudflare_amaweb,status_accessmonitor,nota_accessmonitor,avaliacao_accessmonitor,tem_cloudflare_accessmonitor,diferenca_nota_amaweb_menos_accessmonitor,faixa_amaweb,faixa_accessmonitor,titulo_amaweb,titulo_accessmonitor,accessmonitor_run
"87","al","Prefeitura/Órgão Municipal","https://www.al.mt.gov.br/","https://www.al.mt.gov.br/","URL exata","Concluída","8.6","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Assembleia Legislativa do Estado de Mato Grosso","","17-04-38"
"88","camaracuiaba","Prefeitura/Órgão Municipal","https://www.camaracuiaba.mt.gov.br/","https://www.camaracuiaba.mt.gov.br/","URL exata","Concluída","9.8","Sim","Não","Avaliado","9.7","Sim","Não","0.10","9-10","9-10","Câmara Municipal de Cuiabá","Câmara Municipal de Cuiabá","17-04-38"
"89","","Outro/Consórcio","https://www.mpmt.mp.br/","https://www.mpmt.mp.br/","URL exata","Concluída","6","Sim","Não","Avaliado","5.6","Sim","Não","0.40","6-<7","5-<6","Ministério Público do Estado de Mato Grosso","Ministério Público do Estado de Mato Grosso","17-04-38"
"90","tce","Prefeitura/Órgão Municipal","https://www.tce.mt.gov.br/","https://www.tce.mt.gov.br/","URL exata","Concluída","9.5","Sim","Não","Avaliado","","Não","Não","","9-10","<5","Portal do TCE-MT - Portal do TCE","","17-04-38"
"91","curvelandia","Prefeitura/Órgão Municipal","https://www.curvelandia.mt.gov.br/","https://www.curvelandia.mt.gov.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.curvelandia.mt.gov.br used Cloudflare to restrict access | www.curvelandia.mt.gov.br | Cloudflare","Access denied | www.curvelandia.mt.gov.br used Cloudflare to restrict access | www.curvelandia.mt.gov.br | Cloudflare","17-04-38"
"92","curvelandia","Câmara Municipal","https://curvelandia.mt.leg.br/","https://curvelandia.mt.leg.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | curvelandia.mt.leg.br used Cloudflare to restrict access | curvelandia.mt.leg.br | Cloudflare","Access denied | curvelandia.mt.leg.br used Cloudflare to restrict access | curvelandia.mt.leg.br | Cloudflare","17-04-38"
"93","caceres","Prefeitura/Órgão Municipal","https://www.caceres.mt.gov.br/","https://www.caceres.mt.gov.br/","URL exata","Concluída","8","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Página Inicial - Prefeitura Municipal de Cáceres","","17-04-38"
"94","caceres","Câmara Municipal","https://www.caceres.mt.leg.br/","https://www.caceres.mt.leg.br/","URL exata","Concluída","8.4","Sim","Não","Avaliado","7.5","Sim","Não","0.90","8-<9","7-<8","Página Inicial — Câmara Municipal de Cáceres","Página Inicial — Câmara Municipal de Cáceres","17-04-38"
"95","denise","Prefeitura/Órgão Municipal","https://www.denise.mt.gov.br/","https://www.denise.mt.gov.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.denise.mt.gov.br used Cloudflare to restrict access | www.denise.mt.gov.br | Cloudflare","Access denied | www.denise.mt.gov.br used Cloudflare to restrict access | www.denise.mt.gov.br | Cloudflare","17-04-38"
"96","denise","Câmara Municipal","https://www.denise.mt.leg.br/","https://www.denise.mt.leg.br/","URL exata","Concluída","6.3","Sim","Não","Avaliado","5.9","Sim","Não","0.40","6-<7","5-<6","Câmara Municipal de Denise","Câmara Municipal de Denise","17-04-38"
"97","","Outro/Consórcio","https://www.ciscn.com.br/#/home","https://www.ciscn.com.br/#/home","URL exata","Concluída","5.1","Sim","Não","Avaliado","","Não","Não","","5-<6","<5","Consórcio Intermunicipal de Saúde Da Região Norte Matogrossense","","17-04-38"
"98","diamantino","Prefeitura/Órgão Municipal","https://www.diamantino.mt.gov.br/","https://www.diamantino.mt.gov.br/","URL exata","Concluída","7.2","Sim","Não","Avaliado","6.7","Sim","Não","0.50","7-<8","6-<7","Página Principal - Prefeitura de Diamantino","Página Principal - Prefeitura de Diamantino","17-04-38"
"99","diamantino","Câmara Municipal","https://www.diamantino.mt.leg.br/","https://www.diamantino.mt.leg.br/","URL exata","Concluída","7.7","Sim","Não","Avaliado","7.1","Sim","Não","0.60","7-<8","7-<8","Página Inicial — Câmara Municipal de Diamantino","Página Inicial — Câmara Municipal de Diamantino","17-04-38"
"100","domaquino","Prefeitura/Órgão Municipal","https://www.domaquino.mt.gov.br/","https://www.domaquino.mt.gov.br/","URL exata","Concluída","6.8","Sim","Não","Avaliado","6","Sim","Não","0.80","6-<7","6-<7","Prefeitura Municipal de Dom Aquino","Prefeitura Municipal de Dom Aquino","17-04-38"
"101","","Outro/Consórcio","https://domaquino.oxy.elotech.com.br/portaltransparencia/3/","https://domaquino.oxy.elotech.com.br/portaltransparencia/3/","URL exata","Concluída","6","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Portal Transparência","","17-04-38"
"102","feliznatal","Prefeitura/Órgão Municipal","https://www.feliznatal.mt.gov.br/home","https://www.feliznatal.mt.gov.br/home","URL exata","Concluída","6.3","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Prefeitura de Feliz Natal","","17-04-38"
"103","feliznatal","Câmara Municipal","https://www.feliznatal.mt.leg.br/","https://www.feliznatal.mt.leg.br/","URL exata","Concluída","8.5","Sim","Não","Avaliado","7.2","Sim","Não","1.30","8-<9","7-<8","Home — Câmara Municipal de Feliz Natal","Home — Câmara Municipal de Feliz Natal","17-04-38"
"104","figueiropolisdoeste","Prefeitura/Órgão Municipal","https://figueiropolisdoeste.mt.gov.br/","https://figueiropolisdoeste.mt.gov.br/","URL exata","Concluída","6.6","Sim","Não","Avaliado","5.6","Sim","Não","1.00","6-<7","5-<6","Prefeitura Municipal de Figueirópolis d' Oeste-MT","Prefeitura Municipal de Figueirópolis d' Oeste-MT","17-04-38"
"105","figueiropolisdoeste","Câmara Municipal","https://figueiropolisdoeste.mt.leg.br/","https://figueiropolisdoeste.mt.leg.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | figueiropolisdoeste.mt.leg.br used Cloudflare to restrict access | figueiropolisdoeste.mt.leg.br | Cloudflare","Access denied | figueiropolisdoeste.mt.leg.br used Cloudflare to restrict access | figueiropolisdoeste.mt.leg.br | Cloudflare","17-04-38"
"106","gauchadonorte","Prefeitura/Órgão Municipal","https://www.gauchadonorte.mt.gov.br/","https://www.gauchadonorte.mt.gov.br/","URL exata","Concluída","8","Sim","Não","Avaliado","6.8","Sim","Não","1.20","8-<9","6-<7","Prefeitura Municipal de Gaúcha do Norte MT","Prefeitura Municipal de Gaúcha do Norte MT","17-04-38"
"107","gauchadonorte","Câmara Municipal","https://www.gauchadonorte.mt.leg.br/","https://www.gauchadonorte.mt.leg.br/","URL exata","Concluída","7.9","Sim","Não","Avaliado","7.2","Sim","Não","0.70","7-<8","7-<8","Câmara de Vereadores de Gaúcha do Norte","Câmara de Vereadores de Gaúcha do Norte","17-04-38"
"108","generalcarneiro","Prefeitura/Órgão Municipal","https://www.generalcarneiro.mt.gov.br/","https://www.generalcarneiro.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"109","camarageneralcarneiro","Prefeitura/Órgão Municipal","http://www.camarageneralcarneiro.mt.gov.br/","http://www.camarageneralcarneiro.mt.gov.br/","URL exata","Concluída","8.5","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Câmara Municipal de General Carneiro – MT – A casa do povo Generalcarneirense","","17-04-38"
"110","gloriadoeste","Prefeitura/Órgão Municipal","https://www.gloriadoeste.mt.gov.br/","https://www.gloriadoeste.mt.gov.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.gloriadoeste.mt.gov.br used Cloudflare to restrict access | www.gloriadoeste.mt.gov.br | Cloudflare","Access denied | www.gloriadoeste.mt.gov.br used Cloudflare to restrict access | www.gloriadoeste.mt.gov.br | Cloudflare","17-04-38"
"111","gloriadoeste","Câmara Municipal","https://www.gloriadoeste.mt.leg.br/","https://www.gloriadoeste.mt.leg.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.gloriadoeste.mt.leg.br used Cloudflare to restrict access | www.gloriadoeste.mt.leg.br | Cloudflare","Access denied | www.gloriadoeste.mt.leg.br used Cloudflare to restrict access | www.gloriadoeste.mt.leg.br | Cloudflare","17-04-38"
"112","guarantadonorte","Prefeitura/Órgão Municipal","https://www.guarantadonorte.mt.gov.br/","https://www.guarantadonorte.mt.gov.br/","URL exata","Concluída","8.2","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Página Inicial - Prefeitura de Guarantã do Norte - MT","","17-04-38"
"113","camaraguarantadonorte","Prefeitura/Órgão Municipal","https://camaraguarantadonorte.mt.gov.br","https://camaraguarantadonorte.mt.gov.br","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"114","guiratinga","Prefeitura/Órgão Municipal","https://guiratinga.mt.gov.br/","https://guiratinga.mt.gov.br/","URL exata","Concluída","8.2","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Página Inicial - Prefeitura de Guiratinga - MT","","17-04-38"
"115","guiratinga","Câmara Municipal","https://www.guiratinga.mt.leg.br/","https://www.guiratinga.mt.leg.br/","URL exata","Concluída","7.7","Sim","Não","Avaliado","7.1","Sim","Não","0.60","7-<8","7-<8","Página Inicial — Câmara Municipal","Página Inicial — Câmara Municipal","17-04-38"
"116","indiavai","Prefeitura/Órgão Municipal","https://www.indiavai.mt.gov.br/","https://www.indiavai.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"117","indiavai","Câmara Municipal","https://indiavai.mt.leg.br/","https://indiavai.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"118","ipirangadonorte","Prefeitura/Órgão Municipal","https://www.ipirangadonorte.mt.gov.br","https://www.ipirangadonorte.mt.gov.br","URL exata","Concluída","7.4","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Página Inicial - Prefeitura Municipal de Ipiranga do Norte","","17-04-38"
"119","ipirangadonorte","Câmara Municipal","https://www.ipirangadonorte.mt.leg.br/","https://www.ipirangadonorte.mt.leg.br/","URL exata","Concluída","7.5","Sim","Não","Avaliado","6.2","Sim","Não","1.30","7-<8","6-<7","Câmara Municipal de Ipiranga do Norte/MT — Câmara Municipal de Ipiranga do Norte","Câmara Municipal de Ipiranga do Norte/MT — Câmara Municipal de Ipiranga do Norte","17-04-38"
"120","itanhanga","Prefeitura/Órgão Municipal","https://www.itanhanga.mt.gov.br/#/home","https://www.itanhanga.mt.gov.br/#/home","URL exata","Concluída","7","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Prefeitura Municipal de Itanhangá","","17-04-38"
"121","camaraitanhanga","Prefeitura/Órgão Municipal","https://www.camaraitanhanga.mt.gov.br/","https://www.camaraitanhanga.mt.gov.br/","URL exata","Concluída","8.5","Sim","Não","Avaliado","7.9","Sim","Não","0.60","8-<9","7-<8","Página Inicial - Câmara Municipal de Itanhangá - MT","Página Inicial - Câmara Municipal de Itanhangá - MT","17-04-38"
"122","itauba","Prefeitura/Órgão Municipal","https://www.itauba.mt.gov.br/","https://www.itauba.mt.gov.br/","URL exata","Concluída","7.9","Sim","Não","Avaliado","7.6","Sim","Não","0.30","7-<8","7-<8","Página Inicial - Prefeitura de Itaúba - MT","Página Inicial - Prefeitura de Itaúba - MT","17-04-38"
"123","camaraitauba","Prefeitura/Órgão Municipal","https://www.camaraitauba.mt.gov.br/","https://www.camaraitauba.mt.gov.br/","URL exata","Concluída","8.3","Sim","Não","Avaliado","8.1","Sim","Não","0.20","8-<9","8-<9","Página Inicial - Câmara Municipal de Itaúba - MT","Página Inicial - Câmara Municipal de Itaúba - MT","17-04-38"
"124","itiquira","Prefeitura/Órgão Municipal","https://www.itiquira.mt.gov.br/","https://www.itiquira.mt.gov.br/","URL exata","Concluída","6.6","Sim","Não","Avaliado","6.3","Sim","Não","0.30","6-<7","6-<7","Prefeitura de Itiquira - MT","Prefeitura de Itiquira - MT","17-04-38"
"125","itiquira","Câmara Municipal","https://www.itiquira.mt.leg.br/","https://www.itiquira.mt.leg.br/","URL exata","Concluída","7","Sim","Não","Avaliado","6.1","Sim","Não","0.90","7-<8","6-<7","Câmara Municipal de Itiquira | Poder Legislativo","Câmara Municipal de Itiquira | Poder Legislativo","17-04-38"
"126","jaciara","Prefeitura/Órgão Municipal","https://www.jaciara.mt.gov.br/","https://www.jaciara.mt.gov.br/","URL exata","Concluída","8.1","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Governo de Jaciara - Poder Executivo","","17-04-38"
"127","camarajaciara","Prefeitura/Órgão Municipal","https://www.camarajaciara.mt.gov.br/","https://www.camarajaciara.mt.gov.br/","URL exata","Concluída","5.7","Sim","Não","Avaliado","","Não","Não","","5-<6","<5","Câmara Municipal de Jaciara","","17-04-38"
"128","jangada","Prefeitura/Órgão Municipal","https://jangada.mt.gov.br/","https://jangada.mt.gov.br/","URL exata","Concluída","9.3","Sim","Não","Avaliado","8.6","Sim","Não","0.70","9-10","8-<9","Página Inicial - Prefeitura de Jangada - MT","Página Inicial - Prefeitura de Jangada - MT","17-04-38"
"129","jangada","Câmara Municipal","https://jangada.mt.leg.br/","https://jangada.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"130","jauru","Prefeitura/Órgão Municipal","https://www.jauru.mt.gov.br/","https://www.jauru.mt.gov.br/","URL exata","Concluída","6.6","Sim","Não","Avaliado","5.7","Sim","Não","0.90","6-<7","5-<6",":: Prefeitura Municipal de Jauru - www.Jauru.mt.gov.br",":: Prefeitura Municipal de Jauru - www.Jauru.mt.gov.br","17-04-38"
"131","camarajauru","Prefeitura/Órgão Municipal","https://www.camarajauru.mt.gov.br/","https://www.camarajauru.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"132","","Outro/Consórcio","https://cindvale.com.br","https://cindvale.com.br","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | cindvale.com.br used Cloudflare to restrict access | cindvale.com.br | Cloudflare","Access denied | cindvale.com.br used Cloudflare to restrict access | cindvale.com.br | Cloudflare","17-04-38"
"133","","Outro/Consórcio","https://www.cisva.com.br/#/home","https://www.cisva.com.br/#/home","URL exata","Concluída","7.3","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Cisva","","17-04-38"
"134","juara","Prefeitura/Órgão Municipal","https://juara.mt.gov.br/#/home","https://juara.mt.gov.br/#/home","URL exata","Concluída","6.8","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Juara - MT","","17-04-38"
"135","juara","Câmara Municipal","https://www.juara.mt.leg.br/","https://www.juara.mt.leg.br/","URL exata","Concluída","7.8","Sim","Não","Avaliado","6.6","Sim","Não","1.20","7-<8","6-<7","Poder Legislativo — PODER LEGISLATIVO","Poder Legislativo — PODER LEGISLATIVO","17-04-38"
"136","juruena","Prefeitura/Órgão Municipal","https://www.juruena.mt.gov.br/","https://www.juruena.mt.gov.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.juruena.mt.gov.br used Cloudflare to restrict access | www.juruena.mt.gov.br | Cloudflare","Access denied | www.juruena.mt.gov.br used Cloudflare to restrict access | www.juruena.mt.gov.br | Cloudflare","17-04-38"
"137","juruena","Câmara Municipal","https://www.juruena.mt.leg.br/","https://www.juruena.mt.leg.br/","URL exata","Concluída","6","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Camara Municipal de Juruena","","17-04-38"
"138","","Outro/Consórcio","https://www.cidesasul.com.br/","https://www.cidesasul.com.br/","URL exata","Concluída","3.6","Sim","Não","Avaliado","","Não","Não","","<5","<5","CIDESASUL","","17-04-38"
"139","juscimeira","Prefeitura/Órgão Municipal","https://www.juscimeira.mt.gov.br/","https://www.juscimeira.mt.gov.br/","URL exata","Concluída","6.5","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Prefeitura Municipal de Juscimeira","","17-04-38"
"140","camarajuscimeira","Prefeitura/Órgão Municipal","https://www.camarajuscimeira.mt.gov.br/","https://www.camarajuscimeira.mt.gov.br/","URL exata","Concluída","6.1","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Câmara Municipal de Juscimeira","","17-04-38"
"141","","Outro/Consórcio","https://www.cidesavaledojuruena.com.br/","https://www.cidesavaledojuruena.com.br/","URL exata","Concluída","8.1","Sim","Não","Avaliado","7.3","Sim","Não","0.80","8-<9","7-<8","Consórcio intermunicipal Cidesa","Consórcio intermunicipal Cidesa","17-04-38"
"142","","Outro/Consórcio","https://www.consorciocisvj.com.br/home","https://www.consorciocisvj.com.br/home","URL exata","Concluída","8.4","Sim","Não","Avaliado","7.4","Sim","Não","1.00","8-<9","7-<8","CISVJ","CISVJ","17-04-38"
"143","juina","Prefeitura/Órgão Municipal","https://www.juina.mt.gov.br/","https://www.juina.mt.gov.br/","URL exata","Concluída","7.1","Sim","Não","Avaliado","6.2","Sim","Não","0.90","7-<8","6-<7","Prefeitura de Juína","Prefeitura de Juína","17-04-38"
"144","juina","Câmara Municipal","https://www.juina.mt.leg.br/","https://www.juina.mt.leg.br/","URL exata","Concluída","7.8","Sim","Não","Avaliado","6.7","Sim","Não","1.10","7-<8","6-<7","página inicial — Município de Juína","página inicial — Município de Juína","17-04-38"
"145","lambaridoeste","Prefeitura/Órgão Municipal","https://lambaridoeste.mt.gov.br","https://lambaridoeste.mt.gov.br","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | lambaridoeste.mt.gov.br used Cloudflare to restrict access | lambaridoeste.mt.gov.br | Cloudflare","Access denied | lambaridoeste.mt.gov.br used Cloudflare to restrict access | lambaridoeste.mt.gov.br | Cloudflare","17-04-38"
"146","lambaridoeste","Câmara Municipal","https://lambaridoeste.mt.leg.br/","https://lambaridoeste.mt.leg.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | lambaridoeste.mt.leg.br used Cloudflare to restrict access | lambaridoeste.mt.leg.br | Cloudflare","Access denied | lambaridoeste.mt.leg.br used Cloudflare to restrict access | lambaridoeste.mt.leg.br | Cloudflare","17-04-38"
"147","lucasdorioverde","Prefeitura/Órgão Municipal","https://www.lucasdorioverde.mt.gov.br/site/","https://www.lucasdorioverde.mt.gov.br/site/","URL exata","Concluída","6.1","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Prefeitura de Lucas do Rio Verde","","17-04-38"
"148","camaralucasdorioverde","Prefeitura/Órgão Municipal","https://www.camaralucasdorioverde.mt.gov.br/","https://www.camaralucasdorioverde.mt.gov.br/","URL exata","Concluída","7.9","Sim","Não","Avaliado","7.8","Sim","Não","0.10","7-<8","7-<8","Página Inicial - Câmara Municipal de Lucas do Rio Verde - MT","Página Inicial - Câmara Municipal de Lucas do Rio Verde - MT","17-04-38"
"149","luciara","Prefeitura/Órgão Municipal","https://www.luciara.mt.gov.br/","https://www.luciara.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"150","luciara","Câmara Municipal","https://www.luciara.mt.leg.br/","https://www.luciara.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"151","marcelandia","Prefeitura/Órgão Municipal","https://www.marcelandia.mt.gov.br/","https://www.marcelandia.mt.gov.br/","URL exata","Concluída","5.5","Sim","Não","Avaliado","5.5","Sim","Não","0.00","5-<6","5-<6","Página Inicial - Prefeitura Municipal de Marcelândia","Página Inicial - Prefeitura Municipal de Marcelândia","17-04-38"
"152","camaramarcelandia","Prefeitura/Órgão Municipal","https://www.camaramarcelandia.mt.gov.br/","https://www.camaramarcelandia.mt.gov.br/","URL exata","Concluída","7.8","Sim","Não","Avaliado","7.7","Sim","Não","0.10","7-<8","7-<8","Página Inicial - Câmara Municipal de Marcelândia - MT","Página Inicial - Câmara Municipal de Marcelândia - MT","17-04-38"
"153","matupa","Prefeitura/Órgão Municipal","https://www.matupa.mt.gov.br/","https://www.matupa.mt.gov.br/","URL exata","Concluída","6.7","Sim","Não","Avaliado","6.4","Sim","Não","0.30","6-<7","6-<7","Página Principal Prefeitura Municipal de Matupá - MT","Página Principal Prefeitura Municipal de Matupá - MT","17-04-38"
"154","matupa","Câmara Municipal","https://matupa.mt.leg.br/","https://matupa.mt.leg.br/","URL exata","Concluída","8.3","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Câmara Municipal de Matupá - MT - Portal Oficial","","17-04-38"
"155","mirassoldoeste","Prefeitura/Órgão Municipal","https://www.mirassoldoeste.mt.gov.br/","https://www.mirassoldoeste.mt.gov.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.mirassoldoeste.mt.gov.br used Cloudflare to restrict access | www.mirassoldoeste.mt.gov.br | Cloudflare","Access denied | www.mirassoldoeste.mt.gov.br used Cloudflare to restrict access | www.mirassoldoeste.mt.gov.br | Cloudflare","17-04-38"
"156","amaramirassoldoeste","Prefeitura/Órgão Municipal","https://amaramirassoldoeste.mt.gov.br","https://amaramirassoldoeste.mt.gov.br","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"157","nobres","Prefeitura/Órgão Municipal","https://www.nobres.mt.gov.br/","https://www.nobres.mt.gov.br/","URL exata","Concluída","7.7","Sim","Não","Avaliado","7","Sim","Não","0.70","7-<8","7-<8","Página Inicial - Prefeitura Municipal de Nobres","Página Inicial - Prefeitura Municipal de Nobres","17-04-38"
"158","nobres","Câmara Municipal","https://www.nobres.mt.leg.br/","https://www.nobres.mt.leg.br/","URL exata","Concluída","8.4","Sim","Não","Avaliado","8.5","Sim","Não","-0.10","8-<9","8-<9","Página Inicial - Câmara Municipal de Nobres - MT","Página Inicial - Câmara Municipal de Nobres - MT","17-04-38"
"159","nortelandia","Prefeitura/Órgão Municipal","https://www.nortelandia.mt.gov.br/","https://www.nortelandia.mt.gov.br/","URL exata","Concluída","7.7","Sim","Não","Avaliado","7.3","Sim","Não","0.40","7-<8","7-<8","Página Inicial - Prefeitura Municipal de Nortelândia - MT","Página Inicial - Prefeitura Municipal de Nortelândia - MT","17-04-38"
"160","nortelandia","Câmara Municipal","https://nortelandia.mt.leg.br/","https://nortelandia.mt.leg.br/","URL exata","Concluída","6.4","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Câmara Municipal de Nortelândia","","17-04-38"
"161","nossasenhoradolivramento","Prefeitura/Órgão Municipal","https://www.nossasenhoradolivramento.mt.gov.br/","https://www.nossasenhoradolivramento.mt.gov.br/","URL exata","Concluída","9.3","Sim","Não","Avaliado","8.6","Sim","Não","0.70","9-10","8-<9","Página Inicial - Prefeitura de Nossa Senhora do Livramento - MT","Página Inicial - Prefeitura de Nossa Senhora do Livramento - MT","17-04-38"
"162","camaranossasenhoradolivramento","Prefeitura/Órgão Municipal","https://www.camaranossasenhoradolivramento.mt.gov.br/","https://www.camaranossasenhoradolivramento.mt.gov.br/","URL exata","Concluída","9.8","Sim","Não","Avaliado","9.1","Sim","Não","0.70","9-10","9-10","Câmara Municipal de Nossa Senhora do Livramento | Câmara Municipal de Nossa Senhora do Livramento","Câmara Municipal de Nossa Senhora do Livramento | Câmara Municipal de Nossa Senhora do Livramento","17-04-38"
"163","novabandeirantes","Prefeitura/Órgão Municipal","https://www.novabandeirantes.mt.gov.br/","https://www.novabandeirantes.mt.gov.br/","URL exata","Concluída","7.7","Sim","Não","Avaliado","7.8","Sim","Não","-0.10","7-<8","7-<8","Página Inicial - Prefeitura de Nova Bandeirantes - MT","Página Inicial - Prefeitura de Nova Bandeirantes - MT","17-04-38"
"164","camaranovabandeirantes","Prefeitura/Órgão Municipal","https://www.camaranovabandeirantes.mt.gov.br/","https://www.camaranovabandeirantes.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"165","novabrasilandia","Prefeitura/Órgão Municipal","https://www.novabrasilandia.mt.gov.br/","https://www.novabrasilandia.mt.gov.br/","URL exata","Concluída","7.6","Sim","Não","Avaliado","6.9","Sim","Não","0.70","7-<8","6-<7","Página Inicial - Prefeitura Municipal de Nova Brasilândia - MT","Página Inicial - Prefeitura Municipal de Nova Brasilândia - MT","17-04-38"
"166","novabrasilandia","Câmara Municipal","https://www.novabrasilandia.mt.leg.br/","https://www.novabrasilandia.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"167","novacanaadonorte","Prefeitura/Órgão Municipal","https://www.novacanaadonorte.mt.gov.br/home","https://www.novacanaadonorte.mt.gov.br/home","URL exata","Concluída","6.7","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Prefeitura Municipal de Nova Canaã do Norte","","17-04-38"
"168","camaranovacanaa","Prefeitura/Órgão Municipal","https://www.camaranovacanaa.mt.gov.br/","https://www.camaranovacanaa.mt.gov.br/","URL exata","Concluída","7.9","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Câmara Municipal de Nova Canaã do Norte - Câmara Municipal de Nova Canaã do Norte","","17-04-38"
"169","novaguarita","Prefeitura/Órgão Municipal","https://www.novaguarita.mt.gov.br/","https://www.novaguarita.mt.gov.br/","URL exata","Concluída","7.5","Sim","Não","Avaliado","7.4","Sim","Não","0.10","7-<8","7-<8","Página Inicial - Prefeitura de Nova Guarita - MT","Página Inicial - Prefeitura de Nova Guarita - MT","17-04-38"
"170","novaguarita","Câmara Municipal","https://www.novaguarita.mt.leg.br/","https://www.novaguarita.mt.leg.br/","URL exata","Concluída","7.5","Sim","Não","Avaliado","6.9","Sim","Não","0.60","7-<8","6-<7","Câmara Municipal de Nova Guarita — CÂMARA MUNICIPAL DE NOVA GUARITA - MT","Câmara Municipal de Nova Guarita — CÂMARA MUNICIPAL DE NOVA GUARITA - MT","17-04-38"
"171","","Outro/Consórcio","https://cidesa.com.br/","https://cidesa.com.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"172","novalacerda","Prefeitura/Órgão Municipal","https://www.novalacerda.mt.gov.br/Home/","https://www.novalacerda.mt.gov.br/Home/","URL exata","Concluída","8.5","Sim","Não","Avaliado","8.1","Sim","Não","0.40","8-<9","8-<9","Página Inicial - Prefeitura Municipal de Nova Lacerda - MT","Página Inicial - Prefeitura Municipal de Nova Lacerda - MT","17-04-38"
"173","novalacerda","Câmara Municipal","https://www.novalacerda.mt.leg.br/","https://www.novalacerda.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"174","novamarilandia","Prefeitura/Órgão Municipal","https://www.novamarilandia.mt.gov.br/","https://www.novamarilandia.mt.gov.br/","URL exata","Concluída","8.2","Sim","Não","Avaliado","7.6","Sim","Não","0.60","8-<9","7-<8","Página Inicial - Prefeitura de Nova Marilândia - MT","Página Inicial - Prefeitura de Nova Marilândia - MT","17-04-38"
