ordem,url,titulo,nota,status,tentativas,json,pdf,url_chave,host_chave,nota_num,avaliacao_utilizavel,tem_cloudflare,faixa_nota,tipo_entidade,municipio_chave
"41","https://www.gp.srv.br/transparencia_camponovodoparecis/servlet/home_portal_v2?1","Portal de Transparência","7.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.gp.srv.br_041.json","saida_mt/2026-09-20/02-41-56/amaweb_www.gp.srv.br_041.pdf","gp.srv.br/transparencia_camponovodoparecis/servlet/home_portal_v2?1","gp.srv.br","7.1","Sim","Não","7-<8","Outro/Consórcio",""
"42","https://www.camponovodoparecis.mt.leg.br/","Página Inicial — CÂMARA MUNICIPAL","8.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camponovodoparecis.mt.leg.br_042.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camponovodoparecis.mt.leg.br_042.pdf","camponovodoparecis.mt.leg.br","camponovodoparecis.mt.leg.br","8","Sim","Não","8-<9","Câmara Municipal","camponovodoparecis"
"43","https://campoverde.mt.gov.br/","Página Inicial - Prefeitura de Campo Verde - MT","8.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_campoverde.mt.gov.br_043.json","saida_mt/2026-09-20/02-41-56/amaweb_campoverde.mt.gov.br_043.pdf","campoverde.mt.gov.br","campoverde.mt.gov.br","8.3","Sim","Não","8-<9","Prefeitura/Órgão Municipal","campoverde"
"44","https://www.campoverde.mt.leg.br/","Câmara Municipal de Campo Verde - Transparência, Legislação e Participação Cidadã","7.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.campoverde.mt.leg.br_044.json","saida_mt/2026-09-20/02-41-56/amaweb_www.campoverde.mt.leg.br_044.pdf","campoverde.mt.leg.br","campoverde.mt.leg.br","7.1","Sim","Não","7-<8","Câmara Municipal","campoverde"
"45","https://www.camposdejulio.mt.gov.br/","Página Inicial - Prefeitura Municipal de Campos de Júlio","6.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camposdejulio.mt.gov.br_045.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camposdejulio.mt.gov.br_045.pdf","camposdejulio.mt.gov.br","camposdejulio.mt.gov.br","6.6","Sim","Não","6-<7","Prefeitura/Órgão Municipal","camposdejulio"
"46","https://www.camaracamposdejulio.mt.gov.br/home","","","Sem resultado AMAWeb","5","","","camaracamposdejulio.mt.gov.br/home","camaracamposdejulio.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","camaracamposdejulio"
"47","https://canabravadonorte.org/","Canabrava do Norte","8.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_canabravadonorte.org_047.json","saida_mt/2026-09-20/02-41-56/amaweb_canabravadonorte.org_047.pdf","canabravadonorte.org","canabravadonorte.org","8.3","Sim","Não","8-<9","Outro/Consórcio",""
"48","https://canabravadonorte.mt.leg.br/","","","Sem resultado AMAWeb","5","","","canabravadonorte.mt.leg.br","canabravadonorte.mt.leg.br","0","Não","Não","<5","Câmara Municipal","canabravadonorte"
"49","https://canarana.mt.gov.br/portal/","","","Sem resultado AMAWeb","5","","","canarana.mt.gov.br/portal","canarana.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","canarana"
"50","https://www.canarana.mt.leg.br/","Página Inicial — Câmara Municipal","8.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.canarana.mt.leg.br_050.json","saida_mt/2026-09-20/02-41-56/amaweb_www.canarana.mt.leg.br_050.pdf","canarana.mt.leg.br","canarana.mt.leg.br","8.1","Sim","Não","8-<9","Câmara Municipal","canarana"
"51","https://www.carlinda.mt.gov.br/adm/aplicativo.php","Página Inicial - Prefeitura de Carlinda Carlinda - MT","8.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.carlinda.mt.gov.br_051.json","saida_mt/2026-09-20/02-41-56/amaweb_www.carlinda.mt.gov.br_051.pdf","carlinda.mt.gov.br/adm/aplicativo.php","carlinda.mt.gov.br","8","Sim","Não","8-<9","Prefeitura/Órgão Municipal","carlinda"
"52","https://www.camaracarlinda.mt.gov.br/","· Câmara de Carlinda","7.5","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camaracarlinda.mt.gov.br_052.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camaracarlinda.mt.gov.br_052.pdf","camaracarlinda.mt.gov.br","camaracarlinda.mt.gov.br","7.5","Sim","Não","7-<8","Prefeitura/Órgão Municipal","camaracarlinda"
"53","https://www.castanheira.mt.gov.br/","Prefeitura de Castanheira","8.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.castanheira.mt.gov.br_053.json","saida_mt/2026-09-20/02-41-56/amaweb_www.castanheira.mt.gov.br_053.pdf","castanheira.mt.gov.br","castanheira.mt.gov.br","8","Sim","Não","8-<9","Prefeitura/Órgão Municipal","castanheira"
"54","https://www.castanheira.mt.leg.br/","Access denied | www.castanheira.mt.leg.br used Cloudflare to restrict access | www.castanheira.mt.leg.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.castanheira.mt.leg.br_054.json","saida_mt/2026-09-20/02-41-56/amaweb_www.castanheira.mt.leg.br_054.pdf","castanheira.mt.leg.br","castanheira.mt.leg.br","9.6","Não","Sim","9-10","Câmara Municipal","castanheira"
"55","https://www.chapadadosguimaraes.mt.gov.br/","Página Inicial - Prefeitura Municipal de Chapada dos Guimarães","8.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.chapadadosguimaraes.mt.gov.br_055.json","saida_mt/2026-09-20/02-41-56/amaweb_www.chapadadosguimaraes.mt.gov.br_055.pdf","chapadadosguimaraes.mt.gov.br","chapadadosguimaraes.mt.gov.br","8","Sim","Não","8-<9","Prefeitura/Órgão Municipal","chapadadosguimaraes"
